title,genre,rating,upc,price,availability
A Light in the Attic,Poetry,Three,a897fe39b1053632,51.77,22
Tipping the Velvet,Historical Fiction,One,90fa61229261140a,53.74,20
Soumission,Fiction,One,6957f44c3847a760,50.10,20
Sharp Objects,Mystery,Four,e00eb4fd7b871a48,47.82,20
Sapiens: A Brief History of Humankind,History,Five,4165285e1663650f,54.23,20
The Requiem Red,Young Adult,One,f77dbf2323deb740,22.65,19
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,2597b5a345f45e1b,33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,e72a5dfc7e9267b2,17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,e10e1e165dc8be4a,22.60,19
The Black Maria,Poetry,One,1dfe412b8ac00530,52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,0312262ecafa5a40,13.99,19
Shakespeare's Sonnets,Poetry,Four,30a7f60cd76ca58c,20.66,19
Set Me Free,Young Adult,Five,ce6396b0f23f6ecc,17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,3b1c02bac2a429e6,52.29,19
Rip it Up and Start Again,Music,Five,a34ba96d4081e6a4,35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,deda3e61b9514b83,57.25,19
Olio,Poetry,One,feb7cc7701ecf901,23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,e30f54cea9b38190,37.59,19
Libertarianism for Beginners,Politics,Two,a18a4f574854aced,51.33,19
It's Only the Himalayas,Travel,Two,a22124811bfa8350,45.17,19
In Her Wake,Thriller,One,23356462d1320d61,12.84,19
How Music Works,Music,Two,327f68a59745c102,37.32,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,5674a18a29a43ced,30.52,19
Chase Me (Paris Nights #2),Romance,Five,c2e46a2ee3b4a322,25.27,19
Black Dust,Romance,Five,00bfed9e18bb36f3,34.53,19
Birdsong: A Story in Pictures,Childrens,Three,9528d0948525bf5f,54.64,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,c7d160c2c0de586f,22.50,19
Aladdin and His Wonderful Lamp,Default,Three,904208d6aa64b655,53.13,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,Five,4c28def39d850cdf,40.30,18
Wall and Piece,Art,Four,ccd9ffa25efabdea,44.18,18
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,Five,6258a1f6a6dcfe50,17.66,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,3c039985229453bf,31.05,18
The Elephant Tree,Thriller,Five,5dada2b7be26bd03,23.82,18
The Bear and the Piano,Childrens,One,9f6568e9c95f60b0,36.89,18
Sophie's World,Philosophy,Five,6be3beb0793a53e7,15.94,18
Penny Maybe,Default,Three,668fe56b17cfcd4f,33.29,18
Maude (1883-1993):She Grew Up with the country,Default,Two,094b269567e1c300,18.02,18
"In a Dark, Dark Wood",Mystery,One,19ed25f4641d5efd,19.63,18
